i,tag,id,gold,pred,ok,gold_logprob,prompt_len_tokens,truncated,domain,sub_domain,difficulty,length,gen_txt
0,baseline,66f78ecfbb02136c067c2f12,B,D,0,-24.125,15206,0,Multi-Document QA,Multi-news,easy,short, D. If the Islamic Republic
1,baseline,6704a83dbb02136c067cde1b,B,D,0,-24.75,15644,0,Single-Document QA,Literary,hard,short, D. The multiliter
2,baseline,66fe8eb3bb02136c067ca35f,D,C,0,-25.875,15665,0,Single-Document QA,Legal,hard,short, C. Permanently neutral
3,baseline,66eae4de5a08c7b9b35dd12d,C,B,0,-19.625,15320,0,Single-Document QA,Academic,hard,short, B. === CONTEXT END ===
4,baseline,66f9625fbb02136c067c5456,B,B,1,-15.9375,12998,0,Long In-context Learning,User guide QA,easy,short," B === CONTEXT END ===

"
5,baseline,66f41e45821e116aacb30ec3,C,D,0,-23.5,13414,0,Multi-Document QA,Governmental,hard,short, D. The US government has
6,baseline,66f2b676821e116aacb2b27a,B,B,1,-20.5,13352,0,Single-Document QA,Financial,hard,short, B. The enthusiasm of various
7,baseline,66f78ecfbb02136c067c2f12,B,D,0,-24.125,15206,0,Multi-Document QA,Multi-news,easy,short, D. If the Islamic Republic
8,baseline,6704a83dbb02136c067cde1b,B,D,0,-24.75,15644,0,Single-Document QA,Literary,hard,short, D. The multiliter
9,baseline,66fbab85bb02136c067c81dc,C,B,0,-19.75,11467,0,Multi-Document QA,Multi-news,hard,short, B. the education of the
0,topK,66f78ecfbb02136c067c2f12,B,D,0,-6.46875,15206,0,Multi-Document QA,Multi-news,easy,short, D. If the Islamic Republic
1,topK,6704a83dbb02136c067cde1b,B,D,0,-5.5625,15644,0,Single-Document QA,Literary,hard,short, D. The multiliter
2,topK,66fe8eb3bb02136c067ca35f,D,C,0,-10.1875,15665,0,Single-Document QA,Legal,hard,short, C. Permanent neutral
3,topK,66eae4de5a08c7b9b35dd12d,C,B,0,-6.34375,15320,0,Single-Document QA,Academic,hard,short," B
=== CONTEXT END ==="
4,topK,66f9625fbb02136c067c5456,B,B,1,-2.890625,12998,0,Long In-context Learning,User guide QA,easy,short," B === CONTEXT END ===

"
5,topK,66f41e45821e116aacb30ec3,C,D,0,-5.09375,13414,0,Multi-Document QA,Governmental,hard,short, D. ===CONTEXT END===
6,topK,66f2b676821e116aacb2b27a,B,B,1,-7.15625,13352,0,Single-Document QA,Financial,hard,short," B
=== CONTEXT END,"
7,topK,66f78ecfbb02136c067c2f12,B,D,0,-6.46875,15206,0,Multi-Document QA,Multi-news,easy,short, D. If the Islamic Republic
8,topK,6704a83dbb02136c067cde1b,B,D,0,-5.5625,15644,0,Single-Document QA,Literary,hard,short, D. The multiliter
9,topK,66fbab85bb02136c067c81dc,C,A,0,-9.125,11467,0,Multi-Document QA,Multi-news,hard,short," A
The final answer is"
0,rand0,66f78ecfbb02136c067c2f12,B,B,1,-23.625,15206,0,Multi-Document QA,Multi-news,easy,short, B. It believes that the
1,rand0,6704a83dbb02136c067cde1b,B,B,1,-23.625,15644,0,Single-Document QA,Literary,hard,short," B
=== ANSWER END"
2,rand0,66fe8eb3bb02136c067ca35f,D,C,0,-24.625,15665,0,Single-Document QA,Legal,hard,short, C. Permanently neutral
3,rand0,66eae4de5a08c7b9b35dd12d,C,B,0,-18.625,15320,0,Single-Document QA,Academic,hard,short, B. === CONTEXT END ===
4,rand0,66f9625fbb02136c067c5456,B,B,1,-11.6875,12998,0,Long In-context Learning,User guide QA,easy,short," B === CONTEXT END ===

"
5,rand0,66f41e45821e116aacb30ec3,C,B,0,-21.0,13414,0,Multi-Document QA,Governmental,hard,short, B. ===CONTEXT END===
6,rand0,66f2b676821e116aacb2b27a,B,B,1,-18.5,13352,0,Single-Document QA,Financial,hard,short," B
=== CONTEXT END ==="
7,rand0,66f78ecfbb02136c067c2f12,B,B,1,-23.625,15206,0,Multi-Document QA,Multi-news,easy,short, B. It believes that the
8,rand0,6704a83dbb02136c067cde1b,B,B,1,-23.625,15644,0,Single-Document QA,Literary,hard,short," B
=== ANSWER END"
9,rand0,66fbab85bb02136c067c81dc,C,B,0,-17.5,11467,0,Multi-Document QA,Multi-news,hard,short," B === QUESTION END ===
"
0,rand1,66f78ecfbb02136c067c2f12,B,B,1,-22.0,15206,0,Multi-Document QA,Multi-news,easy,short, B. It believes that the
1,rand1,6704a83dbb02136c067cde1b,B,D,0,-23.125,15644,0,Single-Document QA,Literary,hard,short, D. The multiliter
2,rand1,66fe8eb3bb02136c067ca35f,D,C,0,-24.5,15665,0,Single-Document QA,Legal,hard,short, C. Permanently neutral
3,rand1,66eae4de5a08c7b9b35dd12d,C,B,0,-19.5,15320,0,Single-Document QA,Academic,hard,short, B. === CONTEXT END===
4,rand1,66f9625fbb02136c067c5456,B,B,1,-12.25,12998,0,Long In-context Learning,User guide QA,easy,short," B === CONTEXT END ===
"
5,rand1,66f41e45821e116aacb30ec3,C,D,0,-21.375,13414,0,Multi-Document QA,Governmental,hard,short," D === CONTEXT END ===

"
6,rand1,66f2b676821e116aacb2b27a,B,B,1,-18.75,13352,0,Single-Document QA,Financial,hard,short," B
=== CONTEXT END==="
7,rand1,66f78ecfbb02136c067c2f12,B,B,1,-22.0,15206,0,Multi-Document QA,Multi-news,easy,short, B. It believes that the
8,rand1,6704a83dbb02136c067cde1b,B,D,0,-23.125,15644,0,Single-Document QA,Literary,hard,short, D. The multiliter
9,rand1,66fbab85bb02136c067c81dc,C,B,0,-16.625,11467,0,Multi-Document QA,Multi-news,hard,short, B. the cooperation between various
0,rand2,66f78ecfbb02136c067c2f12,B,D,0,-24.875,15206,0,Multi-Document QA,Multi-news,easy,short, D. If the Islamic Republic
1,rand2,6704a83dbb02136c067cde1b,B,D,0,-26.375,15644,0,Single-Document QA,Literary,hard,short, D. The multiliter
